"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Age specific fertility rates","2004","30 - 34 years","South-East","%",""
"Age specific fertility rates","2004","30 - 34 years","South-West","%",""
"Age specific fertility rates","2004","30 - 34 years","West","%",""
"Age specific fertility rates","2004","30 - 34 years","Ireland","%","134.3"
"Age specific fertility rates","2004","35 - 39 years","Border","%",""
"Age specific fertility rates","2004","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2004","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2004","35 - 39 years","Midland","%",""
"Age specific fertility rates","2004","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2004","35 - 39 years","South-East","%",""
"Age specific fertility rates","2004","35 - 39 years","South-West","%",""
"Age specific fertility rates","2004","35 - 39 years","West","%",""
"Age specific fertility rates","2004","35 - 39 years","Ireland","%","85.2"
"Age specific fertility rates","2004","40 - 44 years","Border","%",""
"Age specific fertility rates","2004","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2004","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2004","40 - 44 years","Midland","%",""
"Age specific fertility rates","2004","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2004","40 - 44 years","South-East","%",""
"Age specific fertility rates","2004","40 - 44 years","South-West","%",""
"Age specific fertility rates","2004","40 - 44 years","West","%",""
"Age specific fertility rates","2004","40 - 44 years","Ireland","%","16.2"
"Age specific fertility rates","2004","45 - 49 years","Border","%",""
"Age specific fertility rates","2004","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2004","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2004","45 - 49 years","Midland","%",""
"Age specific fertility rates","2004","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2004","45 - 49 years","South-East","%",""
"Age specific fertility rates","2004","45 - 49 years","South-West","%",""
"Age specific fertility rates","2004","45 - 49 years","West","%",""
"Age specific fertility rates","2004","45 - 49 years","Ireland","%","0.5"
"Age specific fertility rates","2005","All ages","Border","%",""
"Age specific fertility rates","2005","All ages","Dublin","%",""
"Age specific fertility rates","2005","All ages","Mid-East","%",""
"Age specific fertility rates","2005","All ages","Midland","%",""
"Age specific fertility rates","2005","All ages","Mid-West","%",""
"Age specific fertility rates","2005","All ages","South-East","%",""
"Age specific fertility rates","2005","All ages","South-West","%",""
"Age specific fertility rates","2005","All ages","West","%",""
"Age specific fertility rates","2005","All ages","Ireland","%",""
"Age specific fertility rates","2005","15 - 19 years","Border","%",""
"Age specific fertility rates","2005","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2005","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2005","15 - 19 years","Midland","%",""
"Age specific fertility rates","2005","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2005","15 - 19 years","South-East","%",""
"Age specific fertility rates","2005","15 - 19 years","South-West","%",""
"Age specific fertility rates","2005","15 - 19 years","West","%",""
"Age specific fertility rates","2005","15 - 19 years","Ireland","%","16.8"
"Age specific fertility rates","2005","20 - 24 years","Border","%",""
"Age specific fertility rates","2005","20 - 24 years","Dublin","%",""
"Age specific fertility rates","2005","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","2005","20 - 24 years","Midland","%",""
"Age specific fertility rates","2005","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","2005","20 - 24 years","South-East","%",""
"Age specific fertility rates","2005","20 - 24 years","South-West","%",""
"Age specific fertility rates","2005","20 - 24 years","West","%",""
"Age specific fertility rates","2005","20 - 24 years","Ireland","%","45.8"
"Age specific fertility rates","2005","25 - 29 years","Border","%",""
"Age specific fertility rates","2005","25 - 29 years","Dublin","%",""
"Age specific fertility rates","2005","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","2005","25 - 29 years","Midland","%",""
"Age specific fertility rates","2005","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","2005","25 - 29 years","South-East","%",""
"Age specific fertility rates","2005","25 - 29 years","South-West","%",""
"Age specific fertility rates","2005","25 - 29 years","West","%",""
"Age specific fertility rates","2005","25 - 29 years","Ireland","%","79.9"
"Age specific fertility rates","2005","30 - 34 years","Border","%",""
"Age specific fertility rates","2005","30 - 34 years","Dublin","%",""
"Age specific fertility rates","2005","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","2005","30 - 34 years","Midland","%",""
"Age specific fertility rates","2005","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","2005","30 - 34 years","South-East","%",""
"Age specific fertility rates","2005","30 - 34 years","South-West","%",""
"Age specific fertility rates","2005","30 - 34 years","West","%",""
"Age specific fertility rates","2005","30 - 34 years","Ireland","%","129.4"
"Age specific fertility rates","2005","35 - 39 years","Border","%",""
"Age specific fertility rates","2005","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2005","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2005","35 - 39 years","Midland","%",""
"Age specific fertility rates","2005","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2005","35 - 39 years","South-East","%",""
"Age specific fertility rates","2005","35 - 39 years","South-West","%",""
"Age specific fertility rates","2005","35 - 39 years","West","%",""
"Age specific fertility rates","2005","35 - 39 years","Ireland","%","86.4"
"Age specific fertility rates","2005","40 - 44 years","Border","%",""
"Age specific fertility rates","2005","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2005","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2005","40 - 44 years","Midland","%",""
"Age specific fertility rates","2005","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2005","40 - 44 years","South-East","%",""
"Age specific fertility rates","2005","40 - 44 years","South-West","%",""
"Age specific fertility rates","2005","40 - 44 years","West","%",""
"Age specific fertility rates","2005","40 - 44 years","Ireland","%","16.9"
"Age specific fertility rates","2005","45 - 49 years","Border","%",""
"Age specific fertility rates","2005","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2005","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2005","45 - 49 years","Midland","%",""
"Age specific fertility rates","2005","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2005","45 - 49 years","South-East","%",""
"Age specific fertility rates","2005","45 - 49 years","South-West","%",""
"Age specific fertility rates","2005","45 - 49 years","West","%",""
"Age specific fertility rates","2005","45 - 49 years","Ireland","%","0.6"
"Age specific fertility rates","2006","All ages","Border","%",""
"Age specific fertility rates","2006","All ages","Dublin","%",""
"Age specific fertility rates","2006","All ages","Mid-East","%",""
"Age specific fertility rates","2006","All ages","Midland","%",""
"Age specific fertility rates","2006","All ages","Mid-West","%",""
"Age specific fertility rates","2006","All ages","South-East","%",""
"Age specific fertility rates","2006","All ages","South-West","%",""
"Age specific fertility rates","2006","All ages","West","%",""
"Age specific fertility rates","2006","All ages","Ireland","%",""
"Age specific fertility rates","2006","15 - 19 years","Border","%",""
"Age specific fertility rates","2006","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2006","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2006","15 - 19 years","Midland","%",""
"Age specific fertility rates","2006","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2006","15 - 19 years","South-East","%",""
"Age specific fertility rates","2006","15 - 19 years","South-West","%",""
"Age specific fertility rates","2006","15 - 19 years","West","%",""
"Age specific fertility rates","2006","15 - 19 years","Ireland","%","16.4"
"Age specific fertility rates","2006","20 - 24 years","Border","%",""
"Age specific fertility rates","2006","20 - 24 years","Dublin","%",""
"Age specific fertility rates","2006","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","2006","20 - 24 years","Midland","%",""
"Age specific fertility rates","2006","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","2006","20 - 24 years","South-East","%",""
"Age specific fertility rates","2006","20 - 24 years","South-West","%",""
"Age specific fertility rates","2006","20 - 24 years","West","%",""
"Age specific fertility rates","2006","20 - 24 years","Ireland","%","49.5"
"Age specific fertility rates","2006","25 - 29 years","Border","%",""
"Age specific fertility rates","2006","25 - 29 years","Dublin","%",""
"Age specific fertility rates","2006","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","2006","25 - 29 years","Midland","%",""
"Age specific fertility rates","2006","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","2006","25 - 29 years","South-East","%",""
"Age specific fertility rates","2006","25 - 29 years","South-West","%",""
"Age specific fertility rates","2006","25 - 29 years","West","%",""
"Age specific fertility rates","2006","25 - 29 years","Ireland","%","82.1"
"Age specific fertility rates","2006","30 - 34 years","Border","%",""
"Age specific fertility rates","2006","30 - 34 years","Dublin","%",""
"Age specific fertility rates","2006","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","2006","30 - 34 years","Midland","%",""
"Age specific fertility rates","2006","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","2006","30 - 34 years","South-East","%",""
"Age specific fertility rates","2006","30 - 34 years","South-West","%",""
"Age specific fertility rates","2006","30 - 34 years","West","%",""
"Age specific fertility rates","2006","30 - 34 years","Ireland","%","130.4"
"Age specific fertility rates","2006","35 - 39 years","Border","%",""
"Age specific fertility rates","2006","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2006","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2006","35 - 39 years","Midland","%",""
"Age specific fertility rates","2006","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2006","35 - 39 years","South-East","%",""
"Age specific fertility rates","2006","35 - 39 years","South-West","%",""
"Age specific fertility rates","2006","35 - 39 years","West","%",""
"Age specific fertility rates","2006","35 - 39 years","Ireland","%","90.8"
"Age specific fertility rates","2006","40 - 44 years","Border","%",""
"Age specific fertility rates","2006","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2006","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2006","40 - 44 years","Midland","%",""
"Age specific fertility rates","2006","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2006","40 - 44 years","South-East","%",""
"Age specific fertility rates","2006","40 - 44 years","South-West","%",""
"Age specific fertility rates","2006","40 - 44 years","West","%",""
"Age specific fertility rates","2006","40 - 44 years","Ireland","%","18.1"
"Age specific fertility rates","2006","45 - 49 years","Border","%",""
"Age specific fertility rates","2006","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2006","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2006","45 - 49 years","Midland","%",""
"Age specific fertility rates","2006","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2006","45 - 49 years","South-East","%",""
"Age specific fertility rates","2006","45 - 49 years","South-West","%",""
"Age specific fertility rates","2006","45 - 49 years","West","%",""
"Age specific fertility rates","2006","45 - 49 years","Ireland","%","0.8"
"Age specific fertility rates","2007","All ages","Border","%",""
"Age specific fertility rates","2007","All ages","Dublin","%",""
"Age specific fertility rates","2007","All ages","Mid-East","%",""
"Age specific fertility rates","2007","All ages","Midland","%",""
"Age specific fertility rates","2007","All ages","Mid-West","%",""
"Age specific fertility rates","2007","All ages","South-East","%",""
"Age specific fertility rates","2007","All ages","South-West","%",""
"Age specific fertility rates","2007","All ages","West","%",""
"Age specific fertility rates","2007","All ages","Ireland","%",""
"Age specific fertility rates","2007","15 - 19 years","Border","%",""
"Age specific fertility rates","2007","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2007","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2007","15 - 19 years","Midland","%",""
"Age specific fertility rates","2007","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2007","15 - 19 years","South-East","%",""
"Age specific fertility rates","2007","15 - 19 years","South-West","%",""
"Age specific fertility rates","2007","15 - 19 years","West","%",""
"Age specific fertility rates","2007","15 - 19 years","Ireland","%","17.4"
"Age specific fertility rates","2007","20 - 24 years","Border","%",""
"Age specific fertility rates","2007","20 - 24 years","Dublin","%",""
"Age specific fertility rates","2007","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","2007","20 - 24 years","Midland","%",""
"Age specific fertility rates","2007","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","2007","20 - 24 years","South-East","%",""
"Age specific fertility rates","2007","20 - 24 years","South-West","%",""
"Age specific fertility rates","2007","20 - 24 years","West","%",""
"Age specific fertility rates","2007","20 - 24 years","Ireland","%","48.5"
"Age specific fertility rates","2007","25 - 29 years","Border","%",""
"Age specific fertility rates","2007","25 - 29 years","Dublin","%",""
"Age specific fertility rates","2007","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","2007","25 - 29 years","Midland","%",""
"Age specific fertility rates","2007","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","2007","25 - 29 years","South-East","%",""
"Age specific fertility rates","2007","25 - 29 years","South-West","%",""
"Age specific fertility rates","2007","25 - 29 years","West","%",""
"Age specific fertility rates","2007","25 - 29 years","Ireland","%","84.1"
"Age specific fertility rates","2007","30 - 34 years","Border","%",""
"Age specific fertility rates","2007","30 - 34 years","Dublin","%",""
"Age specific fertility rates","2007","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","2007","30 - 34 years","Midland","%",""
"Age specific fertility rates","2007","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","2007","30 - 34 years","South-East","%",""
"Age specific fertility rates","2007","30 - 34 years","South-West","%",""
"Age specific fertility rates","2007","30 - 34 years","West","%",""
"Age specific fertility rates","2007","30 - 34 years","Ireland","%","138.1"
"Age specific fertility rates","2007","35 - 39 years","Border","%",""
"Age specific fertility rates","2007","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2007","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2007","35 - 39 years","Midland","%",""
"Age specific fertility rates","2007","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2007","35 - 39 years","South-East","%",""
"Age specific fertility rates","2007","35 - 39 years","South-West","%",""
"Age specific fertility rates","2007","35 - 39 years","West","%",""
"Age specific fertility rates","2007","35 - 39 years","Ireland","%","96.7"
"Age specific fertility rates","2007","40 - 44 years","Border","%",""
"Age specific fertility rates","2007","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2007","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2007","40 - 44 years","Midland","%",""
"Age specific fertility rates","2007","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2007","40 - 44 years","South-East","%",""
"Age specific fertility rates","2007","40 - 44 years","South-West","%",""
"Age specific fertility rates","2007","40 - 44 years","West","%",""
"Age specific fertility rates","2007","40 - 44 years","Ireland","%","19.4"
"Age specific fertility rates","2007","45 - 49 years","Border","%",""
"Age specific fertility rates","2007","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2007","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2007","45 - 49 years","Midland","%",""
"Age specific fertility rates","2007","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2007","45 - 49 years","South-East","%",""
"Age specific fertility rates","2007","45 - 49 years","South-West","%",""
"Age specific fertility rates","2007","45 - 49 years","West","%",""
"Age specific fertility rates","2007","45 - 49 years","Ireland","%","0.8"
"Age specific fertility rates","2008","All ages","Border","%",""
"Age specific fertility rates","2008","All ages","Dublin","%",""
"Age specific fertility rates","2008","All ages","Mid-East","%",""
"Age specific fertility rates","2008","All ages","Midland","%",""
"Age specific fertility rates","2008","All ages","Mid-West","%",""
"Age specific fertility rates","2008","All ages","South-East","%",""
"Age specific fertility rates","2008","All ages","South-West","%",""
"Age specific fertility rates","2008","All ages","West","%",""
"Age specific fertility rates","2008","All ages","Ireland","%",""
"Age specific fertility rates","2008","15 - 19 years","Border","%",""
"Age specific fertility rates","2008","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2008","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2008","15 - 19 years","Midland","%",""
"Age specific fertility rates","2008","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2008","15 - 19 years","South-East","%",""
"Age specific fertility rates","2008","15 - 19 years","South-West","%",""
"Age specific fertility rates","2008","15 - 19 years","West","%",""
"Age specific fertility rates","2008","15 - 19 years","Ireland","%","16.5"
"Age specific fertility rates","2008","20 - 24 years","Border","%",""
"Age specific fertility rates","2008","20 - 24 years","Dublin","%",""
"Age specific fertility rates","2008","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","2008","20 - 24 years","Midland","%",""
"Age specific fertility rates","2008","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","2008","20 - 24 years","South-East","%",""
"Age specific fertility rates","2008","20 - 24 years","South-West","%",""
"Age specific fertility rates","2008","20 - 24 years","West","%",""
"Age specific fertility rates","2008","20 - 24 years","Ireland","%","49.6"
"Age specific fertility rates","2008","25 - 29 years","Border","%",""
"Age specific fertility rates","2008","25 - 29 years","Dublin","%",""
"Age specific fertility rates","2008","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","2008","25 - 29 years","Midland","%",""
"Age specific fertility rates","2008","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","2008","25 - 29 years","South-East","%",""
"Age specific fertility rates","2008","25 - 29 years","South-West","%",""
"Age specific fertility rates","2008","25 - 29 years","West","%",""
"Age specific fertility rates","2008","25 - 29 years","Ireland","%","87.8"
"Age specific fertility rates","2008","30 - 34 years","Border","%",""
"Age specific fertility rates","2008","30 - 34 years","Dublin","%",""
"Age specific fertility rates","2008","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","2008","30 - 34 years","Midland","%",""
"Age specific fertility rates","2008","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","2008","30 - 34 years","South-East","%",""
"Age specific fertility rates","2008","30 - 34 years","South-West","%",""
"Age specific fertility rates","2008","30 - 34 years","West","%",""
"Age specific fertility rates","2008","30 - 34 years","Ireland","%","139.3"
"Age specific fertility rates","2008","35 - 39 years","Border","%",""
"Age specific fertility rates","2008","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2008","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2008","35 - 39 years","Midland","%",""
"Age specific fertility rates","2008","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2008","35 - 39 years","South-East","%",""
"Age specific fertility rates","2008","35 - 39 years","South-West","%",""
"Age specific fertility rates","2008","35 - 39 years","West","%",""
"Age specific fertility rates","2008","35 - 39 years","Ireland","%","98.9"
"Age specific fertility rates","2008","40 - 44 years","Border","%",""
"Age specific fertility rates","2008","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2008","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2008","40 - 44 years","Midland","%",""
"Age specific fertility rates","2008","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2008","40 - 44 years","South-East","%",""
"Age specific fertility rates","2008","40 - 44 years","South-West","%",""
"Age specific fertility rates","2008","40 - 44 years","West","%",""
"Age specific fertility rates","2008","40 - 44 years","Ireland","%","19.7"
"Age specific fertility rates","2008","45 - 49 years","Border","%",""
"Age specific fertility rates","2008","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2008","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2008","45 - 49 years","Midland","%",""
"Age specific fertility rates","2008","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2008","45 - 49 years","South-East","%",""
"Age specific fertility rates","2008","45 - 49 years","South-West","%",""
"Age specific fertility rates","2008","45 - 49 years","West","%",""
"Age specific fertility rates","2008","45 - 49 years","Ireland","%","1.2"
"Age specific fertility rates","2009","All ages","Border","%",""
"Age specific fertility rates","2009","All ages","Dublin","%",""
"Age specific fertility rates","2009","All ages","Mid-East","%",""
"Age specific fertility rates","2009","All ages","Midland","%",""
"Age specific fertility rates","2009","All ages","Mid-West","%",""
"Age specific fertility rates","2009","All ages","South-East","%",""
"Age specific fertility rates","2009","All ages","South-West","%",""
"Age specific fertility rates","2009","All ages","West","%",""
"Age specific fertility rates","2009","All ages","Ireland","%",""
"Age specific fertility rates","2009","15 - 19 years","Border","%",""
"Age specific fertility rates","2009","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2009","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2009","15 - 19 years","Midland","%",""
"Age specific fertility rates","2009","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2009","15 - 19 years","South-East","%",""
"Age specific fertility rates","2009","15 - 19 years","South-West","%",""
"Age specific fertility rates","2009","15 - 19 years","West","%",""
"Age specific fertility rates","2009","15 - 19 years","Ireland","%","15.6"
"Age specific fertility rates","2009","20 - 24 years","Border","%",""
"Age specific fertility rates","2009","20 - 24 years","Dublin","%",""
"Age specific fertility rates","2009","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","2009","20 - 24 years","Midland","%",""
"Age specific fertility rates","2009","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","2009","20 - 24 years","South-East","%",""
"Age specific fertility rates","2009","20 - 24 years","South-West","%",""
"Age specific fertility rates","2009","20 - 24 years","West","%",""
"Age specific fertility rates","2009","20 - 24 years","Ireland","%","48.9"
"Age specific fertility rates","2009","25 - 29 years","Border","%",""
"Age specific fertility rates","2009","25 - 29 years","Dublin","%",""
"Age specific fertility rates","2009","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","2009","25 - 29 years","Midland","%",""
"Age specific fertility rates","2009","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","2009","25 - 29 years","South-East","%",""
"Age specific fertility rates","2009","25 - 29 years","South-West","%",""
"Age specific fertility rates","2009","25 - 29 years","West","%",""
"Age specific fertility rates","2009","25 - 29 years","Ireland","%","90.2"
"Age specific fertility rates","2009","30 - 34 years","Border","%",""
"Age specific fertility rates","2009","30 - 34 years","Dublin","%",""
"Age specific fertility rates","2009","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","2009","30 - 34 years","Midland","%",""
"Age specific fertility rates","2009","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","2009","30 - 34 years","South-East","%",""
"Age specific fertility rates","2009","30 - 34 years","South-West","%",""
"Age specific fertility rates","2009","30 - 34 years","West","%",""
"Age specific fertility rates","2009","30 - 34 years","Ireland","%","136.3"
"Age specific fertility rates","2009","35 - 39 years","Border","%",""
"Age specific fertility rates","2009","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2009","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2009","35 - 39 years","Midland","%",""
"Age specific fertility rates","2009","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2009","35 - 39 years","South-East","%",""
"Age specific fertility rates","2009","35 - 39 years","South-West","%",""
"Age specific fertility rates","2009","35 - 39 years","West","%",""
"Age specific fertility rates","2009","35 - 39 years","Ireland","%","98.5"
"Age specific fertility rates","2009","40 - 44 years","Border","%",""
"Age specific fertility rates","2009","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2009","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2009","40 - 44 years","Midland","%",""
"Age specific fertility rates","2009","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2009","40 - 44 years","South-East","%",""
"Age specific fertility rates","2009","40 - 44 years","South-West","%",""
"Age specific fertility rates","2009","40 - 44 years","West","%",""
"Age specific fertility rates","2009","40 - 44 years","Ireland","%","20.9"
"Age specific fertility rates","2009","45 - 49 years","Border","%",""
"Age specific fertility rates","2009","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2009","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2009","45 - 49 years","Midland","%",""
"Age specific fertility rates","2009","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2009","45 - 49 years","South-East","%",""
"Age specific fertility rates","2009","45 - 49 years","South-West","%",""
"Age specific fertility rates","2009","45 - 49 years","West","%",""
"Age specific fertility rates","2009","45 - 49 years","Ireland","%","1.1"
"Age specific fertility rates","2010","All ages","Border","%",""
"Age specific fertility rates","2010","All ages","Dublin","%",""
"Age specific fertility rates","2010","All ages","Mid-East","%",""
"Age specific fertility rates","2010","All ages","Midland","%",""
"Age specific fertility rates","2010","All ages","Mid-West","%",""
"Age specific fertility rates","2010","All ages","South-East","%",""
"Age specific fertility rates","2010","All ages","South-West","%",""
"Age specific fertility rates","2010","All ages","West","%",""
"Age specific fertility rates","2010","All ages","Ireland","%",""
"Age specific fertility rates","2010","15 - 19 years","Border","%",""
"Age specific fertility rates","2010","15 - 19 years","Dublin","%",""
"Age specific fertility rates","2010","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","2010","15 - 19 years","Midland","%",""
"Age specific fertility rates","2010","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","2010","15 - 19 years","South-East","%",""
"Age specific fertility rates","2010","15 - 19 years","South-West","%",""
"Age specific fertility rates","2010","15 - 19 years","West","%",""
"Age specific fertility rates","2010","15 - 19 years","Ireland","%","14.4"
"Age specific fertility rates","2010","20 - 24 years","Border","%",""
"Age specific fertility rates","2010","20 - 24 years","Dublin","%",""
"Age specific fertility rates","2010","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","2010","20 - 24 years","Midland","%",""
"Age specific fertility rates","2010","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","2010","20 - 24 years","South-East","%",""
"Age specific fertility rates","2010","20 - 24 years","South-West","%",""
"Age specific fertility rates","2010","20 - 24 years","West","%",""
"Age specific fertility rates","2010","20 - 24 years","Ireland","%","48.7"
"Age specific fertility rates","2010","25 - 29 years","Border","%",""
"Age specific fertility rates","2010","25 - 29 years","Dublin","%",""
"Age specific fertility rates","2010","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","2010","25 - 29 years","Midland","%",""
"Age specific fertility rates","2010","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","2010","25 - 29 years","South-East","%",""
"Age specific fertility rates","2010","25 - 29 years","South-West","%",""
"Age specific fertility rates","2010","25 - 29 years","West","%",""
"Age specific fertility rates","2010","25 - 29 years","Ireland","%","91.1"
"Age specific fertility rates","2010","30 - 34 years","Border","%",""
"Age specific fertility rates","2010","30 - 34 years","Dublin","%",""
"Age specific fertility rates","2010","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","2010","30 - 34 years","Midland","%",""
"Age specific fertility rates","2010","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","2010","30 - 34 years","South-East","%",""
"Age specific fertility rates","2010","30 - 34 years","South-West","%",""
"Age specific fertility rates","2010","30 - 34 years","West","%",""
"Age specific fertility rates","2010","30 - 34 years","Ireland","%","136.4"
"Age specific fertility rates","2010","35 - 39 years","Border","%",""
"Age specific fertility rates","2010","35 - 39 years","Dublin","%",""
"Age specific fertility rates","2010","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","2010","35 - 39 years","Midland","%",""
"Age specific fertility rates","2010","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","2010","35 - 39 years","South-East","%",""
"Age specific fertility rates","2010","35 - 39 years","South-West","%",""
"Age specific fertility rates","2010","35 - 39 years","West","%",""
"Age specific fertility rates","2010","35 - 39 years","Ireland","%","97.9"
"Age specific fertility rates","2010","40 - 44 years","Border","%",""
"Age specific fertility rates","2010","40 - 44 years","Dublin","%",""
"Age specific fertility rates","2010","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","2010","40 - 44 years","Midland","%",""
"Age specific fertility rates","2010","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","2010","40 - 44 years","South-East","%",""
"Age specific fertility rates","2010","40 - 44 years","South-West","%",""
"Age specific fertility rates","2010","40 - 44 years","West","%",""
"Age specific fertility rates","2010","40 - 44 years","Ireland","%","21.7"
"Age specific fertility rates","2010","45 - 49 years","Border","%",""
"Age specific fertility rates","2010","45 - 49 years","Dublin","%",""
"Age specific fertility rates","2010","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","2010","45 - 49 years","Midland","%",""
"Age specific fertility rates","2010","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","2010","45 - 49 years","South-East","%",""
"Age specific fertility rates","2010","45 - 49 years","South-West","%",""
"Age specific fertility rates","2010","45 - 49 years","West","%",""
