"Statistic Label","Month","Industry Sector NACE Rev 2","UNIT","VALUE"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Other non-metallic mineral products (23)","Base Year 2021=100","98.33112297"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Basic metals (24)","Base Year 2021=100","99.48803002"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","100.5513075"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Electrical equipment (27)","Base Year 2021=100","98.78746555"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Furniture (31)","Base Year 2021=100","97.94602192"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Mining and quarrying (05 to 09)","Base Year 2021=100","99.85055898"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Food products (10)","Base Year 2021=100","100.3497574"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Textiles (13)","Base Year 2021=100","101.4960168"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Wearing apparel (14)","Base Year 2021=100","100.1616687"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Wood and wood products, except furniture (16)","Base Year 2021=100","99.42197849"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Paper and paper products (17)","Base Year 2021=100","99.17485573"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Chemicals and chemical products (20)","Base Year 2021=100","99.74977515"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Rubber and plastic products (22)","Base Year 2021=100","99.98786547"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Other non-metallic mineral products (23)","Base Year 2021=100","100.4640148"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Basic metals (24)","Base Year 2021=100","102.4310723"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","101.5871517"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Electrical equipment (27)","Base Year 2021=100","101.2421972"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Furniture (31)","Base Year 2021=100","101.0678987"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 July","Mining and quarrying (05 to 09)","Base Year 2021=100","99.85864287"
"Domestic Industrial Price Index (Excl VAT)","2021 July","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Food products (10)","Base Year 2021=100","100.4099857"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Textiles (13)","Base Year 2021=100","101.4960168"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Wearing apparel (14)","Base Year 2021=100","100.1616687"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Wood and wood products, except furniture (16)","Base Year 2021=100","103.3085314"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Paper and paper products (17)","Base Year 2021=100","99.62695739"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Chemicals and chemical products (20)","Base Year 2021=100","99.74261351"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Rubber and plastic products (22)","Base Year 2021=100","100.7468193"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Other non-metallic mineral products (23)","Base Year 2021=100","100.6018424"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Basic metals (24)","Base Year 2021=100","102.4385716"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","101.6073817"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Electrical equipment (27)","Base Year 2021=100","101.2421972"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 August","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 August","Furniture (31)","Base Year 2021=100","101.0679648"
