"Statistic Label","Year","Sector of Activity","Size of Enterprise","UNIT","VALUE"
"Number of Exporting Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","2179"
"Number of Exporting Enterprises","2018","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","2607"
"Number of Exporting Enterprises","2018","Wholesale and Retail (45-47)","Small (10 to 49)","Number","1040"
"Number of Exporting Enterprises","2018","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","215"
"Number of Exporting Enterprises","2018","Wholesale and Retail (45-47)","Large (250 or more)","Number","53"
"Number of Exporting Enterprises","2018","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Exporting Enterprises","2018","Wholesale and Retail (45-47)","All Enterprises","Number","3915"
"Number of Exporting Enterprises","2018","Services/other (49-98)","Micro (0 to 9)","Number","1155"
"Number of Exporting Enterprises","2018","Services/other (49-98)","Small (10 to 49)","Number","430"
"Number of Exporting Enterprises","2018","Services/other (49-98)","Medium (50 to 249)","Number","172"
"Number of Exporting Enterprises","2018","Services/other (49-98)","Large (250 or more)","Number","75"
"Number of Exporting Enterprises","2018","Services/other (49-98)","Unknown","Number",""
"Number of Exporting Enterprises","2018","Services/other (49-98)","All Enterprises","Number","1832"
"Number of Exporting Enterprises","2018","Unknown","Micro (0 to 9)","Number",""
"Number of Exporting Enterprises","2018","Unknown","Small (10 to 49)","Number",""
"Number of Exporting Enterprises","2018","Unknown","Medium (50 to 249)","Number",""
"Number of Exporting Enterprises","2018","Unknown","Large (250 or more)","Number",""
"Number of Exporting Enterprises","2018","Unknown","Unknown","Number","39"
"Number of Exporting Enterprises","2018","Unknown","All Enterprises","Number","39"
"Number of Exporting Enterprises","2018","All sectors","Micro (0 to 9)","Number","5235"
"Number of Exporting Enterprises","2018","All sectors","Small (10 to 49)","Number","2416"
"Number of Exporting Enterprises","2018","All sectors","Medium (50 to 249)","Number","872"
"Number of Exporting Enterprises","2018","All sectors","Large (250 or more)","Number","298"
"Number of Exporting Enterprises","2018","All sectors","Unknown","Number","39"
"Number of Exporting Enterprises","2018","All sectors","All Enterprises","Number","8860"
"Number of Exporting Enterprises","2019","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","414"
"Number of Exporting Enterprises","2019","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","194"
"Number of Exporting Enterprises","2019","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","104"
"Number of Exporting Enterprises","2019","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","52"
"Number of Exporting Enterprises","2019","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Exporting Enterprises","2019","Agriculture and Food (01-03,10-11)","All Enterprises","Number","764"
"Number of Exporting Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","75"
"Number of Exporting Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","48"
"Number of Exporting Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","46"
"Number of Exporting Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","34"
"Number of Exporting Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Exporting Enterprises","2019","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","203"
"Number of Exporting Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","1270"
"Number of Exporting Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","742"
"Number of Exporting Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","324"
"Number of Exporting Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","86"
"Number of Exporting Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Exporting Enterprises","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","2422"
"Number of Exporting Enterprises","2019","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","2729"
"Number of Exporting Enterprises","2019","Wholesale and Retail (45-47)","Small (10 to 49)","Number","1112"
"Number of Exporting Enterprises","2019","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","216"
"Number of Exporting Enterprises","2019","Wholesale and Retail (45-47)","Large (250 or more)","Number","53"
"Number of Exporting Enterprises","2019","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Exporting Enterprises","2019","Wholesale and Retail (45-47)","All Enterprises","Number","4110"
"Number of Exporting Enterprises","2019","Services/other (49-98)","Micro (0 to 9)","Number","1594"
"Number of Exporting Enterprises","2019","Services/other (49-98)","Small (10 to 49)","Number","503"
"Number of Exporting Enterprises","2019","Services/other (49-98)","Medium (50 to 249)","Number","209"
"Number of Exporting Enterprises","2019","Services/other (49-98)","Large (250 or more)","Number","84"
"Number of Exporting Enterprises","2019","Services/other (49-98)","Unknown","Number",""
"Number of Exporting Enterprises","2019","Services/other (49-98)","All Enterprises","Number","2390"
"Number of Exporting Enterprises","2019","Unknown","Micro (0 to 9)","Number",""
"Number of Exporting Enterprises","2019","Unknown","Small (10 to 49)","Number",""
"Number of Exporting Enterprises","2019","Unknown","Medium (50 to 249)","Number",""
"Number of Exporting Enterprises","2019","Unknown","Large (250 or more)","Number",""
"Number of Exporting Enterprises","2019","Unknown","Unknown","Number","59"
"Number of Exporting Enterprises","2019","Unknown","All Enterprises","Number","59"
"Number of Exporting Enterprises","2019","All sectors","Micro (0 to 9)","Number","6082"
"Number of Exporting Enterprises","2019","All sectors","Small (10 to 49)","Number","2599"
"Number of Exporting Enterprises","2019","All sectors","Medium (50 to 249)","Number","899"
"Number of Exporting Enterprises","2019","All sectors","Large (250 or more)","Number","309"
"Number of Exporting Enterprises","2019","All sectors","Unknown","Number","59"
"Number of Exporting Enterprises","2019","All sectors","All Enterprises","Number","9948"
"Number of Exporting Enterprises","2020","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","420"
"Number of Exporting Enterprises","2020","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","169"
"Number of Exporting Enterprises","2020","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","119"
"Number of Exporting Enterprises","2020","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","54"
"Number of Exporting Enterprises","2020","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Exporting Enterprises","2020","Agriculture and Food (01-03,10-11)","All Enterprises","Number","762"
"Number of Exporting Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","82"
"Number of Exporting Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","50"
"Number of Exporting Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","42"
"Number of Exporting Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","38"
"Number of Exporting Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Exporting Enterprises","2020","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","212"
"Number of Exporting Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","1260"
"Number of Exporting Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","685"
"Number of Exporting Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","340"
"Number of Exporting Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","87"
"Number of Exporting Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Exporting Enterprises","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","2372"
"Number of Exporting Enterprises","2020","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","2808"
"Number of Exporting Enterprises","2020","Wholesale and Retail (45-47)","Small (10 to 49)","Number","1053"
"Number of Exporting Enterprises","2020","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","230"
"Number of Exporting Enterprises","2020","Wholesale and Retail (45-47)","Large (250 or more)","Number","53"
"Number of Exporting Enterprises","2020","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Exporting Enterprises","2020","Wholesale and Retail (45-47)","All Enterprises","Number","4144"
"Number of Exporting Enterprises","2020","Services/other (49-98)","Micro (0 to 9)","Number","1548"
"Number of Exporting Enterprises","2020","Services/other (49-98)","Small (10 to 49)","Number","493"
"Number of Exporting Enterprises","2020","Services/other (49-98)","Medium (50 to 249)","Number","209"
"Number of Exporting Enterprises","2020","Services/other (49-98)","Large (250 or more)","Number","98"
